local_datetime,day_ahead_price,SP,imbalance_price,valueSum,temperature,TCO2_per_h,gCO2_per_kWh,nuclear,biomass,coal,gas,hydro,wind,solar,demand,pumped_storage,windOnshore,windOffshore,belgian,dutch,french,ireland,northern_ireland,irish
2019-01-01 00:00:00+00:00,48.81,1,15.0,15.0,9.1,2287.0099999999998,83.66293532338308,6.924,1.116,0,5.853,0.405,11.304,0,27.336,0.0,8.054581,3.141711,0.0,0.182,1.552,0.0,0.0,-0.702
2019-01-01 00:30:00+00:00,50.24,2,15.0,15.0,9.1,2467.906,89.02337493687324,6.838,1.103,0,6.292,0.388,11.327,0,27.722,0.024,7.860487,3.253887,0.0,0.196,1.554,0.0,0.0,-0.696
2019-01-01 01:00:00+00:00,41.9,3,16.0,16.0,9.1,2411.8340000000003,87.88841921142775,6.834,1.09,0,5.719,0.372,11.335,0,27.442,0.0,7.879198000000001,3.3408510000000002,0.0,0.588,1.504,0.0,0.0,-0.722
2019-01-01 01:30:00+00:00,39.32,4,16.0,16.0,9.1,2119.532,80.07298828862865,6.83,1.085,0,5.02,0.368,11.063,0,26.47,0.0,7.708874,3.213702,0.0,0.6,1.504,0.0,0.0,-0.77
2019-01-01 02:00:00+00:00,34.09,5,16.0,16.0,9.1,2069.84,79.01660622256156,6.827,1.081,0,4.964,0.355,10.786,0,26.195,0.0,7.479429,3.122706,0.0,0.678,1.504,0.0,0.0,-0.91
2019-01-01 02:30:00+00:00,29.85,6,15.0,15.0,9.1,2095.386,79.58169388530193,6.832,1.08,0,5.113,0.341,10.786,0,26.33,0.0,7.378152,3.193308,0.0,0.674,1.504,0.0,0.0,-0.978
2019-01-01 03:00:00+00:00,27.55,7,15.0,15.0,9.1,1919.9159999999997,75.12584128971669,6.814,1.078,0,5.148,0.323,10.491,0,25.556,0.0,7.047136999999999,3.008659,0.0,0.298,1.404,0.0,0.0,-0.99
2019-01-01 03:30:00+00:00,25.61,8,30.0,30.0,9.1,1748.53,69.7042057006179,6.802,1.077,0,4.729,0.356,10.423,0,25.085,0.0,6.960789,2.960604,0.0,0.286,1.412,0.0,0.0,-0.992
2019-01-01 04:00:00+00:00,28.74,9,15.0,15.0,9.1,1814.82,73.41801852825762,6.784,1.075,0,4.91,0.4,10.26,0,24.719,0.0,6.570396,2.8854960000000003,0.0,0.326,0.964,0.0,0.0,-0.992
2019-01-01 04:30:00+00:00,26.86,10,15.0,15.0,9.1,1816.9239999999998,74.3452678096485,6.772,1.077,0,4.915,0.406,9.981,0,24.439,0.0,6.410405,3.063858,0.0,0.326,0.962,0.0,0.0,-0.992
2019-01-01 05:00:00+00:00,22.67,11,15.0,15.0,9.1,1929.2179999999996,79.7494109379521,6.761,1.079,0,5.173,0.431,9.787,0,24.191,0.0,6.219,2.955799,0.0,0.392,0.568,0.0,0.0,-0.992
2019-01-01 05:30:00+00:00,22.9,12,15.0,15.0,9.1,2103.9479999999994,86.30519320698988,6.748,1.118,0,5.603,0.447,9.506,0,24.378,0.0,6.0365150000000005,2.918397,0.0,0.394,0.562,0.0,0.0,-0.992
2019-01-01 06:00:00+00:00,22.91,13,63.5,63.5,9.1,2333.3500000000004,93.12539910600256,6.738,1.472,0,6.028,0.447,9.413,0,25.056,0.0,5.781796999999999,3.00539,0.0,0.44,0.518,0.0,0.0,-0.992
2019-01-01 06:30:00+00:00,23.39,14,17.62,17.62,9.1,2528.458,100.16068520569743,6.719,1.503,0,6.537,0.438,9.123,1.66e-05,25.2440166,0.0,5.6083870000000005,3.025158,0.0,0.416,0.508,0.0,0.0,-0.986
2019-01-01 07:00:00+00:00,40.69,15,16.8,16.8,9.1,2309.098,90.92726123452462,6.709,1.092,0,6.458,0.434,9.06,2.21e-06,25.395002209999998,0.0,5.514892,2.986991,0.0,0.0,1.642,0.0,0.0,-0.99
2019-01-01 07:30:00+00:00,40.41,16,16.8,16.8,9.1,2467.7839999999997,96.45431920793884,6.698,1.084,0,6.82,0.433,8.836,2.52e-06,25.58500252,0.062,5.316047999999999,2.9276619999999998,0.0,0.0,1.652,0.0,0.0,-0.954
2019-01-01 08:00:00+00:00,40.06,17,15.0,15.0,9.1,2793.148,107.21020243009536,6.682,1.084,0,7.288,0.477,8.536,5.56e-06,26.053005560000003,0.168,5.199184,2.792423,0.0,0.166,1.652,0.0,0.0,-0.818
2019-01-01 08:30:00+00:00,41.45,18,30.0,30.0,9.1,3277.0979999999995,122.3611371441757,6.669,1.098,0,8.486,0.483,7.929,0.00518,26.78218,0.278,5.1218330000000005,2.653225,0.0,0.184,1.65,0.0,0.0,-0.814
2019-01-01 09:00:00+00:00,40.95,19,30.1,30.1,9.1,3956.452,141.20603875941325,6.658,1.106,0,9.497,0.53,7.421,0.105,28.019,0.198,4.79526,2.583654,0.0,0.754,1.75,0.0,0.0,-0.804
2019-01-01 09:30:00+00:00,40.15,20,40.15,40.15,9.1,4439.996,150.92786729213407,6.645,1.314,0,10.667,0.515,7.219,0.358,29.418,0.174,4.725567,2.350859,0.0,0.776,1.75,0.0,0.0,-0.832
2019-01-01 10:00:00+00:00,42.53,21,67.0,67.0,9.1,4823.51,157.78573765129212,6.638,1.334,0,11.399,0.516,7.097,0.688,30.57,0.186,4.646493,2.196572,0.0,0.864,1.848,0.0,0.0,-0.732
2019-01-01 10:30:00+00:00,45.1,22,30.1,30.1,9.1,5319.817000000001,166.5774361222445,6.593,1.351,0.229,12.146,0.517,7.122,1.11,31.936,0.154,4.631622999999999,2.319006,0.0,0.866,1.848,0.0,0.0,-0.766
2019-01-01 11:00:00+00:00,51.75,23,38.0,38.0,9.1,5658.125999999998,170.89389591953844,6.511,1.359,0.306,12.834,0.501,6.944,1.53,33.109,0.146,4.618333000000001,2.2922029999999998,0.0,0.982,1.996,0.0,0.0,-0.916
2019-01-01 11:30:00+00:00,51.08,24,35.0,35.0,9.1,5857.736,171.7055840539352,6.49,1.355,0.31,13.418,0.501,6.995,1.92,34.115,0.144,4.674777,2.255297,0.0,0.984,1.998,0.0,0.0,-0.992
2019-01-01 12:00:00+00:00,50.67,25,20.0,20.0,9.1,6029.903,172.8013468978364,6.472,1.302,0.307,13.859,0.518,7.165,2.08,34.895,0.194,4.453207,2.499034,0.0,1.0,1.998,0.0,0.0,-0.992
2019-01-01 12:30:00+00:00,50.38,26,38.0,38.0,9.1,6356.174,180.5987782355448,6.454,1.201,0.46,14.354,0.525,6.903,2.01,35.195,0.29,4.383806000000001,2.525185,0.0,1.0,1.998,0.0,0.0,-0.992
2019-01-01 13:00:00+00:00,51.43,27,44.5,44.5,9.1,6635.977,187.90284856722164,6.429,1.176,0.507,14.96,0.54,6.55,1.88,35.316,0.276,4.360357,2.222135,0.0,1.0,1.998,0.0,0.0,-0.992
2019-01-01 13:30:00+00:00,49.9,28,31.31,31.31,9.1,6628.478,189.72116320338887,6.43,1.185,0.46,15.05,0.537,6.576,1.56,34.938,0.142,4.4653860000000005,2.227924,0.0,1.0,1.998,0.0,0.0,-0.992
2019-01-01 14:00:00+00:00,51.39,29,38.0,38.0,9.1,6705.354,192.42822705619008,6.429,1.144,0.414,15.367,0.525,6.513,1.21,34.846,0.246,4.437939,2.1999989999999996,0.0,1.0,1.998,0.0,0.0,-0.992
2019-01-01 14:30:00+00:00,52.01,30,43.0,43.0,9.1,7060.436000000001,202.60082068352034,6.433,0.975,0.712,15.611,0.524,6.478,0.896,34.849,0.222,4.152292999999999,2.2051529999999997,0.0,1.0,1.998,0.0,0.0,-0.992
2019-01-01 15:00:00+00:00,51.87,31,38.0,38.0,9.1,7207.375,205.32077030453237,6.431,1.297,0.767,15.885,0.543,6.557,0.551,35.103,0.182,4.192571,2.320002,0.0,0.892,1.998,0.0,0.0,-0.992
2019-01-01 15:30:00+00:00,48.49,32,38.0,38.0,9.1,7752.802000000001,217.92837666900917,6.432,1.526,1.198,16.177,0.534,6.392,0.236,35.575,0.192,4.02975,2.372958,0.0,0.89,1.998,0.0,0.0,-0.992
2019-01-01 16:00:00+00:00,54.99,33,38.0,38.0,9.1,8878.612000000001,239.19447826977168,6.429,1.478,1.858,17.554,0.596,6.104,0.047799999999999995,37.1188,0.226,3.795054,2.3362890000000003,0.0,0.828,1.998,0.0,0.0,-0.992
2019-01-01 16:30:00+00:00,62.42,34,38.0,38.0,9.1,9654.532000000001,247.00451887954344,6.418,1.486,2.458,18.094,0.934,6.006,0.00045900000000000004,39.086459000000005,0.864,3.634115,2.329511,0.0,0.828,1.998,0.0,0.0,-0.992
2019-01-01 17:00:00+00:00,65.19,35,38.0,38.0,9.1,9932.349,250.56980427129304,6.421,1.47,2.609,18.173,0.963,5.985,0.0020499999999999997,39.639050000000005,0.964,3.5966750000000003,2.428645,0.0,1.054,1.998,0.0,0.0,-0.992
2019-01-01 17:30:00+00:00,65.95,36,38.0,38.0,9.1,9921.998000000001,251.02459140818706,6.423,1.441,2.648,18.058,0.856,5.944,0,39.526,1.1,3.486674,2.421437,0.0,1.058,1.998,0.0,0.0,-0.992
2019-01-01 18:00:00+00:00,65.15,37,46.0,46.0,9.1,9902.865000000002,253.36046832029936,6.426,1.467,2.615,18.08,0.83,5.901,0.00107,39.08607,0.71,3.355345,2.4558809999999998,0.0,1.058,1.998,0.0,0.0,-0.992
2019-01-01 18:30:00+00:00,64.22,38,38.0,38.0,9.1,9804.105000000001,255.46584612735623,6.423,1.544,2.501,18.077,0.696,5.838,0.000361,38.377361,0.242,3.221979,2.590759,0.0,1.058,1.998,0.0,0.0,-0.992
2019-01-01 19:00:00+00:00,59.0,39,38.0,38.0,9.1,9160.147,242.4272089581027,6.426,1.517,1.969,17.716,0.593,5.88,0.00014399999999999998,37.785144,0.628,3.2256400000000003,2.54252,0.0,1.058,1.998,0.0,0.0,-0.992
2019-01-01 19:30:00+00:00,57.74,40,38.0,38.0,9.1,8641.702000000001,234.65024777308506,6.424,1.513,1.494,17.531,0.563,5.883,1.1400000000000001e-05,36.8280114,0.364,3.277042,2.477071,0.0,1.058,1.998,0.0,0.0,-0.992
2019-01-01 20:00:00+00:00,57.2,41,38.0,38.0,9.1,8278.899000000001,229.9949716635182,6.415,1.509,1.265,17.156,0.479,5.872,0,35.996,0.244,3.239265,2.535681,0.0,1.058,1.998,0.0,0.0,-0.992
2019-01-01 20:30:00+00:00,54.44,42,38.0,38.0,9.1,7741.052000000001,222.1121312980604,6.42,1.368,0.942,16.602,0.474,5.808,0,34.852,0.182,3.130076,2.703779,0.0,1.058,1.998,0.0,0.0,-0.992
2019-01-01 21:00:00+00:00,51.66,43,38.0,38.0,9.1,7390.942,218.524688072852,6.422,1.115,0.888,16.004,0.459,5.84,0,33.822,0.226,3.009591,2.665812,0.0,1.002,1.866,0.0,0.0,-0.992
2019-01-01 21:30:00+00:00,50.61,44,38.0,38.0,9.1,6775.661,209.14470475661327,6.419,1.071,0.645,15.035,0.46,5.713,0,32.397,0.18,2.938338,2.616437,0.0,1.0,1.874,0.0,0.0,-0.992
2019-01-01 22:00:00+00:00,50.84,45,38.0,38.0,9.1,6720.335999999999,216.75007256894045,6.414,1.003,0.642,15.086,0.432,5.528,0,31.005,0.242,2.834966,2.594643,0.0,1.0,0.658,0.0,0.0,-0.992
2019-01-01 22:30:00+00:00,49.46,46,38.0,38.0,9.1,6304.526999999999,211.99525875113483,6.409,0.979,0.643,14.038,0.425,5.325,0,29.739,0.28,2.7835039999999998,2.560073,0.0,1.0,0.64,0.0,0.0,-0.992
2019-01-01 23:00:00+00:00,45.07,47,16.0,16.0,9.1,5626.453999999999,197.35019291476672,6.367,0.971,0.488,12.632,0.392,5.222,0,28.51,0.0,2.6294570000000004,2.5243409999999997,0.0,0.952,1.486,0.0,0.0,-0.992
2019-01-01 23:30:00+00:00,45.05,48,42.1,42.1,9.1,5228.273,189.67758670729938,6.327,0.975,0.303,12.062,0.382,5.075,0,27.564,0.0,1.800895,0.123679,0.0,0.95,1.49,0.0,0.0,-0.992
